hid,start_word,end_word,no_change,lo_swap,hi_swap,delta_lo,delta_hi,sum_delta_lo,sum_delta_hi,peak_lo,peak_hi,notes
H001,59,70,So I whip out my notebook and I go up to him,so I grab my notebook and I head over to him,So out comes my notebook and over I go to him,1.5641614047126495,3.3304358289526537,7.232055500615587,24.894799743015625,14.654308721607853,12.201386213689545,
H002,118,126,there's a blur in the corner of my eye,there's a shape at the edge of my vision,something streaks past in the corner of my eye,1.900157985617592,3.422483619577272,17.101421870558326,24.038108970626475,15.878951774982086,18.806858719775715,
H003,143,154,mashing a cream pie into Dean McGowan's face. And then runs away.,hitting dean mcgowan in the face with a cream pie and then takes off,"planting a cream pie square into dean mcgowan's face, and hoofs it",1.323969358785753,2.7084430549763843,22.860800218771956,32.50131665971661,17.821223395958544,22.48850921299155,
H004,172,182,"Dean McGowan, would you care to comment on this latest attack?","yeah, I'd be happy to say something","commenting is exactly what I'd care to do, yes",0.2816535632005124,2.3257278103697088,-15.099384449859741,12.396070597195717,8.006257438751675,13.197841310037797,
H005,187,192,"Yes, I would care to comment.","dean mcgowan, do you have a comment on this latest incident","dean mcgowan, this latest attack — got anything you'd care to share about it",3.584480921901267,5.2525770774318215,49.80673761541305,90.13999504324407,11.269564949257951,13.215411057649941,
H006,216,224,"he will go on to win a Pulitzer Prize,",he went on to earn a pulitzer prize,a pulitzer prize is what he'll go on to win,1.7495711039639392,2.6557537967441833,3.9575098482821858,23.901784170697653,14.431389625073706,14.749948961683264,
H007,247,252,"Dean McGowan, that guy's a dick.",dean mcgowan is a total jerk,dean mcgowan — what a dick that guy is,3.418271899780144,3.7006595010958834,20.509631398680867,43.99096042473806,10.250498949835466,13.46592511448033,
H008,281,286,Reporters call this making shit up.,journalists refer to this as 'making crap up',making shit up' — that's the term reporters have coined for this,-0.4652548382949657,0.002316966558659317,10.354047589070795,35.21570237072155,14.766910578641959,15.814653653199914,
H009,329,337,"I called him Pie Man, capital P, capital M.","I named him pie man, with a capital p and m",pie man is what I called him — and I capitalized both letters,2.8603087262716986,1.0439482295937088,34.25915920216771,29.49559457347665,18.975714038115232,11.812917305365461,
H010,387,393,which means I am not an animal.,which translates to 'i'm no animal',the meaning there being  'i am not a beast',4.41428624768667,5.442244923462626,15.323572170483676,55.728063379113294,15.128495158983169,13.692597904352208,
H011,456,464,"If you want to see me again in action,",if you want to see my do my thing again,if you wish to once again observe the fruits of my labor,2.588082954248363,1.763680474432249,23.292746588235268,26.732972135736162,12.269395033146735,15.650151559719033,
H012,526,537,Sheila was the kind of student that Dean McGown wanted more of.,sheila had everything that the dean wanted in a student,"sheila represented the platonic ideal of a student, the type the dean wished would populate the campus",2.3307114187288036,2.1082090316052122,13.97332047733051,59.17403781218241,13.916351804673646,16.475303680640685,
H013,577,588,Sheila had collaborated with the Dean to ban outdoor drinking on campus.,sheila had teamed up with the dean to stop outdoor drinking on campus,"outdoor drinking on campus, sheila had aided the dean in putting a stop to that",1.2665044373830465,1.179490633894976,22.667512496632227,36.3012239403825,16.49495235453646,17.28132032389674,
H014,690,703,"The Ram ran five major stories about Pie Man, all of them by me.","the ram published five big stories on pie man, all by yours truly","five stories concerning pie man, all my own, eventually came out in the ram",5.211351391771754,4.33069253487374,52.33429034141167,51.19803977343393,20.182506668191113,18.061436379932854,
H015,711,718,"I was out at a bar one night,",one evening i had gone out to a pub,one night i found myself alone at a local dive,2.503397255414492,3.2393037712986343,20.027178043315935,33.42341200404834,15.133960079696985,12.8418207124173,
H016,740,750,And now Angela and I had been flirting for two months.,well angela and I had spent two months flirting,"to this point, two months of flirting had transpired between angela and i",2.332883019052744,3.014736938003213,6.6303243672862,40.18775651775048,11.54580864255332,12.982368374355405,
H017,801,807,I felt a tap on my shoulder.,i felt someone poke my shoulder,on my shoulder was a tap,5.700355193004774,4.726543882813604,20.065762222050004,15.19670567109415,13.744183412547905,13.108386941948618,
H018,816,833,we were just talking about how you always seem to know when and where Pie Man will strike.,we were recently chatting about how you consistently know where and when pie man is gonna show up,our conversation centered on how you always seem to know the when and where of pie man's assaults,2.7116515941075328,2.7625093248370662,41.27096724117946,42.13554866358153,18.827030220930112,19.354770679922897,
H019,835,841,"we were wondering, are you Pie Man?",we were curious whether you might be pie man,the thing we were wondering is whether you and pie man are the same person,4.769885049461534,1.6640424217591834,43.28534109174365,59.180418776988226,20.317493787061522,21.632771697440454,
H020,854,863,"if I said yes, she would have sex with me.","if i told her yes, she'd sleep with me","if i feigned a positive response, she would go to bed with me",2.459767365827853,2.1404812305357477,13.001938151210098,32.3619755418417,11.70176560604343,10.813195914512024,
H021,935,947,"Oh, good. Now buy me a beer and tell me all about it.",oh great now buy me a drink and tell me everything,"oh good, a beer — buy me one and then spill it, all of it",3.339071095188549,3.8430885188459465,22.812232455888783,57.32939876250882,16.124090342077107,12.748436884721208,
